lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
Achterberg Ut,389,3149,l e ʁ ə,5,3.390669584274292
Achterberg Ut,398,3158,m ɪ n ə,5,3.7225353717803955
Achterberg Ut,420,3180,s x ʌ d ə,6,4.399832725524902
Achterberg Ut,425,3185,s l œ y t ə,7,3.2075839042663574
Achterberg Ut,439,3199,s t e k ə,6,3.4144585132598877
Achterberg Ut,480,3241,s y k ə,5,3.792900562286377
Achterberg Ut,482,3243,s ɑ u t ə,6,3.107403516769409
Achterberg Ut,485,3246,s ʋ ɛ m ə,6,4.617499351501465
Achterberg Ut,520,3277,ʔ ʌ m,4,4.82304573059082
Achterberg Ut,528,3285,t œ s ə,5,5.2062554359436035
Achterberg Ut,541,3298,ʋ u n s d ɑ x,8,4.996370315551758
Achterberg Ut,546,3303,s ø v ə n t ɨ x,9,4.345102310180664
Aduard Gn,5,3310,b ɔ˞ d n,5,4.015854358673096
Aduard Gn,23,3328,d ɔ ʔ ŋ,5,3.132037401199341
Aduard Gn,29,3334,d ɑ i m,5,3.7393798828125
Aduard Gn,34,3340,d u b m,5,4.444628715515137
Aduard Gn,36,3341,ʔ ɪ u w n,6,6.822178363800049
Aduard Gn,43,3348,χ ɑ ɫ,4,5.067902565002441
Aduard Gn,59,3364,ɦ e m l,5,6.239941596984863
Aduard Gn,72,3378,k ɑ l v ə r,7,4.716664791107178
Aduard Gn,74,3380,k ɔ m ə˞ s,6,4.367492198944092
Aduard Gn,77,3382,k ɑ s t n,6,4.069992542266846
Aduard Gn,83,3387,k l ɔ v r,6,4.080876350402832
Aduard Gn,91,3395,k o˞ t s,5,5.624617576599121
Aduard Gn,105,3408,m ɒ n,4,5.0100836753845215
Aduard Gn,107,3410,m ɛ z l s,6,3.8223774433135986
Aduard Gn,108,3411,m ɑ i,4,4.480823516845703
Aduard Gn,118,3420,n ɑ l d n,6,4.165019512176514
Aduard Gn,124,3426,p ɔ ə d n,6,4.201556205749512
Aduard Gn,129,3430,p e p r,5,5.0285115242004395
Aduard Gn,143,3444,r o k,4,4.926312446594238
Aduard Gn,155,3456,s m e d n,6,4.527859210968018
Aduard Gn,166,3468,s ɵ k ə r,6,4.4882588386535645
Aduard Gn,208,3509,z ɑ i k t ɨ s,8,4.722923278808594
Aduard Gn,226,3527,d r ø x,5,5.374690532684326
Aduard Gn,231,3532,ʔ ɛ i ɡ ŋ,6,3.804318428039551
Aduard Gn,235,3536,f l ɑ u w,6,5.492321491241455
Aduard Gn,261,3561,k ʋ ɔ t,5,4.775859832763672
Aduard Gn,263,3563,l ɔ t,4,3.9009900093078613
Aduard Gn,267,3567,ɫ e i x,5,6.1784257888793945
Aduard Gn,285,3584,s x ɑ i f,6,3.5630435943603516
Aduard Gn,287,3586,s x a˞ p,5,4.47873592376709
Aduard Gn,294,3591,s t i f,5,4.406467914581299
Aduard Gn,309,3605,v r æ i,5,4.832799434661865
Aduard Gn,315,3612,z ɑ χ t,5,3.587791919708252
Aduard Gn,337,3634,b r ɔ d n,6,2.888922929763794
Aduard Gn,344,3641,d ʌ i n,5,3.952136278152466
Aduard Gn,353,3650,d ɵ˞ m,4,6.711686134338379
Aduard Gn,357,3654,χ ɔ ʔ m,5,3.7694504261016846
Aduard Gn,369,3666,ɦ ɔ ɫ d n,6,3.3509910106658936
Aduard Gn,371,3668,j ø ʔ ŋ,5,5.011505126953125
Aduard Gn,374,3671,k ø˞ n,4,3.7026662826538086
