"","lang","avg_len","lstm","longitude","latitude"
"361","Noordwolde Fr",5.02293577981651,2.84398869105748,6.14128,52.8917
"362","Norg Dr",4.54504504504505,2.8782062195895,6.46512,53.0687
"364","Nunspeet Gl",4.50231481481481,2.99920487837358,5.79135,52.3809
"366","Oerle NB",4.575,2.92543966728344,5.38649,51.4196
"367","Oijen NB",4.78828828828829,3.11465072631836,5.50821,51.8281
"368","Oirschot NB",4.65197215777262,2.96452059064593,5.32255,51.5056
"369","Oisterwijk NB",4.5814479638009,3.16803888689008,5.21388,51.5834
"370","Oldemarkt Ov",4.51270207852194,3.16555350167411,5.97813,52.8285
"371","Oldenzaal Ov",4.61860465116279,3.11373356410435,6.93263,52.3197
"372","Onstwedde Gn",4.36470588235294,3.1255237872784,7.03556,53.0351
"374","Ooltgensplaat ZH",4.83409090909091,2.98306792122977,4.33993,51.6869
"376","Oosterbeek Gl",5.16629213483146,2.89564514160156,5.85145,51.9914
"377","Oosterend Fr - Aasterein Fr",4.77672209026128,2.73478229229267,5.37447,53.4119
"378","Oosterland Ze",5.23598130841121,2.95674632679332,4.03171,51.647
"380","Ootmarsum Ov",4.32798165137615,3.14293207441057,6.89725,52.4009
"384","Opperdoes NH",4.78688524590164,2.92632939265324,5.07823,52.7644
"386","Ospel Lb",4.79591836734694,2.94982428299753,5.78877,51.3054
"387","Ossendrecht NB",4.4954128440367,2.92314231178977,4.33618,51.3949
"388","Otterlo Gl",5.16216216216216,2.76620376319216,5.77621,52.1061
"389","Ottersum Lb",4.46698113207547,3.03090150015695,5.99109,51.7141
"390","Oud-Charlois ZH",5.00675675675676,2.78038052150181,4.48614,51.8998
"391","Oud-Vossemeer Ze",5.15695067264574,2.78795262386924,4.19411,51.5687
"392","Ouddorp ZH",5.06603773584906,2.80473882501776,3.93084,51.8075
"393","Oude Pekela Gn",4.76649746192893,2.93683268229167,7.00476,53.1103
"394","Oude-Tonge ZH prot",4.81464530892448,2.97253635951451,4.20193,51.6906
"395","Oude-Tonge ZH rk",5,2.85515714946546,4.20346,51.6897
"396","Oudega Fr - Aldegea Fr",4.69607843137255,3.02819648155799,6.00497,53.1262
"397","Oudemirdum Fr - Aldemardum Fr",4.81598062953995,3.19287902832031,5.53267,52.8566
"400","Oudeschoot Fr - Aldskoat Fr",4.69,2.96054194523738,5.95903,52.9416
"401","Oudewater Ut",4.95691609977324,2.95761697334156,4.88127,52.0234
"404","Panningen Lb",4.54332552693208,3.08128792898996,5.98311,51.3364
"405","Papendrecht ZH",4.66666666666667,2.94608710793888,4.6857,51.8326
"407","Piershil ZH",5.18510158013544,2.76741927010672,4.30877,51.7951
"408","Poederoijen Gl",4.83108108108108,3.00993592398507,5.08239,51.7931
"411","Posterholt Lb",4.48045977011494,3.14987182617188,6.04284,51.1291
"413","Putten Gl",5.06976744186047,2.6572285045277,5.61404,52.2648
"414","Puttershoek ZH",5.09817351598173,2.78501087535511,4.57147,51.8063
"415","Raalte Ov",4.31192660550459,3.09071840558733,6.27776,52.3826
"417","Reek NB",4.718820861678,2.98026262249863,5.68827,51.7492
"418","Renkum Gl",4.85779816513762,3.05692836216518,5.73269,51.9763
"419","Reusel NB",4.64349775784753,2.97114616527892,5.17086,51.3711
"420","Reuver Lb",4.64530892448513,3.12296458653041,6.08992,51.2928
